name,extensions,prismIndicator,founder,year
SQF,.sqf|.hqf,sqf,,1991
SQL,.sql|.cql|.ddl|.inc|.mysql|.prc|.tab|.udf|.viw,sql, Donald D. Chamberlin|Raymond F. Boyce,1974
SQLPL,.sql|.db2,,PostgreSQL Global Development Group,1974
SRecode Template,.srt,markup,,2000
STON,.ston,,,1970
SVG,.svg,,W3C SVG Working Group,1999
SWIG,.i,,David M. Beazley,1996
Sage,.sage|.sagews,,William Stein,2005
SaltStack,.sls,,founder Thomas S. Hatch,2011
Sass,.sass,markup,Hampton Catlin,2006
Scala,.scala|.kojo|.sbt|.sc,scala,Martin Odersky,2004
Scaml,.scaml,markup,Gérard Huet|Guy Cousineau|Xavier Leroy,1996
Scheme,.scm|.sch|.sld|.sls|.sps|.ss,scheme,Guy L. Steele Jr.|Gerald Jay Sussman,1975
Scilab,.sci|.sce|.tst,,François Delebecque,1990
Self,.self,,David Ungar,1987
ShaderLab,.shader,,GLSL,2000
Shell,.sh|.bash|.bats|.cgi|.command|.env|.fcgi|.ksh|.sh.in|.tmux|.tool|.zsh,,Stephen Bourne,1989
ShellSession,.sh-session,,Richard C. Haight,1980s
Shen,.shen,,Mark Tarver,2011
Sieve,.sieve,,Tim Showalter,1999
Slash,.sl,,Tanner Swett,2006
Slice,.ice,,,2011
Slim,.slim,markup,,2010
SmPL,.cocci,,Dennis Ritchie,1980s
Smali,.smali,smali,,2010
Smalltalk,.st|.cs,smalltalk,Alan Kay|Dan Ingalls|Adele Goldberg,1972
Smarty,.tpl,smarty,Monte Ohrt|Messju Mohr|Uwe Tews,2006
SourcePawn,.sp|.inc,,,2004
Squirrel,.nut,,Alberto Demichelis,2003
Stan,.stan,stan,Stan Development Team,2012
Standard ML,.ML|.fun|.sig|.sml,,Robin Milner,1983
Starlark,.bzl,,Andreas Rumpf,2018
Stata,.do|.ado|.doh|.ihlp|.mata|.matah|.sthlp,,William Gould,1985
Stylus,.styl,markup,TJ Holowaychuk,2010
SugarSS,.sss,markup,Andreas Rumpf,1964
SuperCollider,.sc|.scd,,James McCartney,1996
Svelte,.svelte,markup,Rich Harris,2016
Swift,.swift,swift,Chris Lattner|Apple,2010
